height,miner,signal
682333,AntPool,True
682334,F2Pool,True
682335,F2Pool,True
682336,ViaBTC,False
682337,1THash,False
682338,BTC.com,False
682339,Binance Pool,False
682340,F2Pool,True
682341,Poolin,True
682342,ViaBTC,False
682343,F2Pool,True
682344,Foundry USA,True
682345,AntPool,True
682346,BTC.com,False
682347,F2Pool,True
682348,Huobi Pool,False
682349,AntPool,True
682350,Binance Pool,False
682351,AntPool,True
682352,Huobi Pool,False
682353,Huobi Pool,False
682354,Huobi Pool,False
682355,BTC.com,False
682356,ViaBTC,False
682357,F2Pool,True
682358,AntPool,True
682359,F2Pool,True
682360,Binance Pool,False
682361,Huobi Pool,False
682362,F2Pool,True
682363,SpiderPool,False
682364,Poolin,True
682365,F2Pool,True
682366,BTC.com,False
682367,Poolin,True
682368,Poolin,False
682369,Binance Pool,False
682370,BTC.com,False
682371,AntPool,True
682372,F2Pool,True
682373,Binance Pool,False
682374,ViaBTC,False
682375,Foundry USA,True
682376,Poolin,False
682377,F2Pool,True
682378,F2Pool,True
682379,F2Pool,True
682380,1THash,False
682381,Huobi Pool,False
682382,BTCPool (unidentified),False
682383,EMCDPool,False
682384,BTC.com,False
682385,F2Pool,True
682386,AntPool,True
682387,Binance Pool,False
682388,BTC.com,False
682389,Poolin,False
682390,ViaBTC,False
682391,Binance Pool,False
682392,Foundry USA,True
682393,BTC.com,False
682394,F2Pool,True
682395,F2Pool,True
682396,Poolin,False
682397,BTC.com,False
682398,AntPool,True
682399,AntPool,True
682400,F2Pool,True
682401,ViaBTC,False
682402,Huobi Pool,False
682403,F2Pool,True
682404,BTC.TOP,False
682405,F2Pool,True
682406,AntPool,True
682407,Binance Pool,False
682408,AntPool,True
682409,SlushPool,True
682410,1THash,True
682411,Poolin,False
682412,Minerium,False
682413,BTC.com,False
682414,Poolin,True
682415,Binance Pool,False
682416,SlushPool,True
682417,AntPool,True
682418,1THash,True
682419,1THash,False
682420,AntPool,True
682421,F2Pool,True
682422,AntPool,True
682423,Binance Pool,False
682424,Binance Pool,False
682425,TMSPool,False
682426,WAYI.CN,False
682427,Poolin,False
682428,Poolin,True
682429,AntPool,True
682430,Poolin,False
682431,Poolin,True
682432,Poolin,False
682433,ViaBTC,False
682434,OKExPool,False
682435,Poolin,True
682436,ViaBTC,False
682437,ViaBTC,False
682438,ViaBTC,False
682439,Binance Pool,False
682440,Binance Pool,False
682441,BTC.TOP,False
682442,AntPool,True
682443,ViaBTC,False
682444,AntPool,True
682445,AntPool,True
682446,SlushPool,True
682447,Binance Pool,False
682448,F2Pool,True
682449,Foundry USA,True
682450,ViaBTC,False
682451,1THash,True
682452,ViaBTC,False
682453,F2Pool,True
682454,AntPool,True
682455,Binance Pool,False
682456,BTC.com,False
682457,BTCPool (unidentified),False
682458,Foundry USA,True
682459,BTC.TOP,False
682460,ViaBTC,False
682461,AntPool,True
682462,Poolin,False
682463,Binance Pool,False
682464,OKKONG,False
682465,F2Pool,True
682466,Huobi Pool,False
682467,BTC.com,False
682468,F2Pool,True
682469,Binance Pool,False
682470,AntPool,True
682471,AntPool,True
682472,MARA Pool,False
682473,BTC.com,False
682474,F2Pool,True
682475,AntPool,True
682476,AntPool,True
682477,Huobi Pool,False
682478,AntPool,True
682479,F2Pool,True
682480,1THash,False
682481,F2Pool,True
682482,Poolin,True
682483,1THash,False
682484,Huobi Pool,False
682485,Huobi Pool,False
682486,F2Pool,True
682487,Binance Pool,False
682488,1THash,True
682489,Rawpool,False
682490,AntPool,True
682491,BTC.com,False
682492,ViaBTC,False
682493,Poolin,False
682494,BTC.com,False
682495,AntPool,True
682496,ViaBTC,False
682497,EMCDPool,False
682498,AntPool,True
682499,Binance Pool,False
682500,Binance Pool,False
682501,F2Pool,True
682502,BTC.com,False
682503,F2Pool,True
682504,BTC.com,False
682505,F2Pool,True
682506,F2Pool,True
682507,Binance Pool,False
682508,OKKONG,False
682509,F2Pool,True
682510,Binance Pool,False
682511,Poolin,False
682512,F2Pool,True
682513,Binance Pool,False
682514,F2Pool,True
682515,AntPool,True
682516,F2Pool,True
682517,BTC.com,False
682518,BTC.com,False
682519,Foundry USA,True
682520,AntPool,True
682521,AntPool,True
682522,Huobi Pool,False
682523,BTC.com,False
682524,F2Pool,True
682525,Poolin,False
682526,Poolin,False
682527,AntPool,True
682528,Binance Pool,False
682529,ViaBTC,False
682530,Poolin,False
682531,AntPool,True
682532,AntPool,True
682533,AntPool,True
682534,Poolin,True
682535,AntPool,True
682536,BTC.TOP,False
682537,MARA Pool,False
682538,OKKONG,False
682539,Poolin,False
682540,F2Pool,True
682541,ViaBTC,False
682542,Poolin,False
682543,AntPool,True
682544,BTC.com,False
682545,Binance Pool,False
682546,Poolin,False
682547,Foundry USA,True
682548,Poolin,True
682549,AntPool,True
682550,AntPool,True
682551,F2Pool,True
682552,ViaBTC,False
682553,1THash,False
682554,Huobi Pool,False
682555,AntPool,True
682556,ViaBTC,False
682557,SlushPool,True
682558,AntPool,True
682559,Huobi Pool,False
682560,BTC.TOP,False
682561,1THash,False
682562,Huobi Pool,False
682563,Huobi Pool,False
682564,F2Pool,True
682565,F2Pool,True
682566,F2Pool,True
682567,Poolin,False
682568,Binance Pool,False
682569,F2Pool,True
682570,AntPool,True
682571,BTC.TOP,False
682572,BTC.com,False
682573,BTC.com,False
682574,AntPool,True
682575,BTC.com,False
682576,Binance Pool,False
682577,AntPool,True
682578,Foundry USA,True
682579,Binance Pool,False
682580,F2Pool,True
682581,Binance Pool,False
682582,ViaBTC,False
682583,SpiderPool,False
682584,F2Pool,True
682585,F2Pool,True
682586,ViaBTC,False
682587,SBI Crypto,True
682588,ViaBTC,False
682589,WAYI.CN,False
682590,1THash,False
682591,Poolin,False
682592,BTC.com,False
682593,MARA Pool,False
682594,Huobi Pool,False
682595,AntPool,True
682596,ViaBTC,False
682597,Poolin,False
682598,BTC.com,False
682599,Poolin,True
682600,1THash,False
682601,F2Pool,False
682602,AntPool,True
682603,BTC.TOP,False
682604,AntPool,True
682605,Poolin,False
682606,Binance Pool,False
682607,Huobi Pool,False
682608,AntPool,True
682609,AntPool,True
682610,Binance Pool,False
682611,AntPool,True
682612,AntPool,True
682613,Huobi Pool,False
682614,Huobi Pool,False
682615,Poolin,False
682616,F2Pool,True
682617,Foundry USA,True
682618,F2Pool,True
682619,ViaBTC,False
682620,ViaBTC,False
682621,Huobi Pool,False
682622,BTC.TOP,False
682623,F2Pool,True
682624,Sigmapool.com,False
682625,F2Pool,True
682626,Sigmapool.com,False
682627,AntPool,True
682628,Huobi Pool,False
682629,OKExPool,False
682630,ViaBTC,False
682631,SlushPool,True
682632,BTCPool (unidentified),False
682633,AntPool,True
682634,Binance Pool,False
682635,BTC.com,False
682636,ViaBTC,False
682637,Poolin,True
682638,AntPool,True
682639,ViaBTC,False
682640,OKExPool,False
682641,Binance Pool,False
682642,AntPool,True
682643,BTC.com,False
682644,AntPool,True
682645,BTC.TOP,False
682646,AntPool,True
682647,F2Pool,True
682648,ViaBTC,False
682649,BTC.com,False
682650,AntPool,True
682651,Rawpool,False
682652,AntPool,True
682653,AntPool,True
682654,F2Pool,True
682655,ViaBTC,False
682656,BTC.com,False
682657,Poolin,True
682658,SlushPool,True
682659,Binance Pool,False
682660,Huobi Pool,False
682661,AntPool,True
682662,1THash,False
682663,Huobi Pool,False
682664,ViaBTC,False
682665,Binance Pool,False
682666,Binance Pool,False
682667,ViaBTC,False
682668,AntPool,True
682669,BTC.com,False
682670,F2Pool,True
682671,Poolin,True
682672,F2Pool,True
682673,Rawpool,False
682674,Rawpool,False
